Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
England,2021-07-03,Dominic Calvert-Lewin,18,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Raheem Sterling,64,LW,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Marcus Rashford,26,LW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Jadon Sancho,90,RW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Mason Mount,90,AM,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Declan Rice,56,DM,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Jordan Henderson,34,DM,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Kalvin Phillips,64,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Jude Bellingham,26,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Luke Shaw,64,LB,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Kieran Trippier,26,LB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Harry Maguire,90,CB,1,0,0,0,2,1,0,0,NA,NA,NA,NA,NA
England,2021-07-03,John Stones,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Kyle Walker,90,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-03,Jordan Pickford,90,GK,0,0,0,0,0,0,0,0,0,2,100.0,NA,0
England,2021-07-07,Harry Kane,120,FW,1,0,0,1,3,2,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Raheem Sterling,120,"LW,RW,RM",0,0,0,0,6,3,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Bukayo Saka,68,RW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Jack Grealish,37,LW,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Kieran Trippier,15,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Mason Mount,94,AM,0,0,0,0,2,1,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Phil Foden,26,"LM,AM",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Declan Rice,94,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Jordan Henderson,26,"CM,DM",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Kalvin Phillips,120,"DM,CM",0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Luke Shaw,120,LB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Harry Maguire,120,CB,0,0,0,0,3,2,1,0,NA,NA,NA,NA,NA
England,2021-07-07,John Stones,120,CB,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Kyle Walker,120,"RB,CB",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-07-07,Jordan Pickford,120,GK,0,0,0,0,0,0,0,0,1,2,66.7,NA,0
England,2021-07-11,Harry Kane,120,FW,0,0,0,0,0,0,0,0,NA,NA,NA,1,NA
