Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Egypt,2022-01-19,Mohamed Elneny,90,CM,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Amro El Soulia,83,DM,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Hamdy Fathy,7,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Ayman Ashraf,90,LB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Mohamed Abdelmoneim,90,CB,1,0,,0,0,2,1,0,1,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Ahmed Hegazi,90,CB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Omar Kamal,90,RB,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-19,Mohamed El-Shenawy,90,GK,0,0,,0,0,0,0,0,0,0,0,0,1,100.0,NA,0
Egypt,2022-01-26,Mostafa Mohamed,90,FW,0,0,,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Mohamed Sherif,30,FW,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Omar Marmoush,70,FW,0,0,,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Trézéguet,50,"FW,MF",0,0,,0,0,6,1,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Mohamed Salah,120,FW,0,0,,0,0,2,1,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-01-26,Amro El Soulia,120,CM,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-01-26,Mohamed Elneny,120,CM,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Hamdy Fathy,83,DM,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Ahmed Sayed,37,MF,0,0,,0,0,1,1,0,1,0,0,0,NA,NA,1,NA
Egypt,2022-01-26,Ahmed Aboul-Fotouh,120,LB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Mohamed Abdelmoneim,120,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-01-26,Ahmed Hegazi,120,CB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-01-26,Omar Kamal,120,RB,0,0,,0,0,1,1,2,0,0,0,0,NA,NA,1,NA
Egypt,2022-01-26,Mohamed El-Shenawy,87,GK,0,0,,0,0,0,0,0,0,0,0,0,7,100.0,NA,0
Egypt,2022-01-26,Gabaski,33,GK,0,0,,0,0,0,0,0,0,0,0,0,7,100.0,NA,0
Egypt,2022-01-30,Mostafa Mohamed,110,FW,0,0,,0,0,3,0,0,1,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Ramadan Sobhi,10,MF,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Omar Marmoush,79,FW,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Ahmed Sayed,41,MF,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Mohamed Salah,119,FW,1,0,,0,0,3,1,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Marwan Hamdy,1,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Ayman Ashraf,90,CM,0,0,,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Mahmoud Alaa,30,DF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Amro El Soulia,120,CM,0,0,,0,0,1,0,4,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Mohamed Elneny,120,DM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Ahmed Aboul-Fotouh,120,LB,0,0,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Mohamed Abdelmoneim,120,CB,0,0,,0,0,1,1,3,1,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Ahmed Hegazi,45,CB,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Trézéguet,75,"FW,MF",1,0,,0,0,2,1,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Omar Kamal,120,RB,0,0,,0,0,0,0,2,1,0,0,1,NA,NA,NA,NA
Egypt,2022-01-30,Gabaski,95,GK,0,0,,0,0,0,0,0,0,0,0,1,3,100.0,NA,0
Egypt,2022-01-30,Mohamed Sobhy,25,GK,0,0,,0,0,0,0,0,0,0,0,1,3,100.0,NA,0
Egypt,2022-02-03,Mostafa Mohamed,105,FW,0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Mohamed Sherif,12,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Ahmed Sayed,3,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-02-03,Omar Marmoush,62,FW,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Ramadan Sobhi,58,MF,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Mohamed Salah,120,FW,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Amro El Soulia,45,CM,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Trézéguet,75,"FW,MF",0,0,,0,0,2,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Mohamed Elneny,85,CM,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Mohanad Lasheen,35,MF,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,1,NA
Egypt,2022-02-03,Hamdy Fathy,120,DM,0,0,,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Ahmed Aboul-Fotouh,120,LB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,El Wensh,120,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Mohamed Abdelmoneim,120,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-02-03,Omar Kamal,84,RB,0,0,,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Emam Ashour,36,MF,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-03,Gabaski,120,GK,0,0,,0,0,0,0,0,0,0,0,0,3,100.0,NA,0
Egypt,2022-02-06,Mostafa Mohamed,58,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Marwan Hamdy,62,FW,0,0,,0,0,2,1,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-02-06,Omar Marmoush,58,FW,0,0,,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Ahmed Sayed,62,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
Egypt,2022-02-06,Mohamed Salah,120,FW,0,0,,0,0,2,2,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Amro El Soulia,57,CM,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Trézéguet,63,"FW,MF",0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Mohamed Elneny,120,CM,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Hamdy Fathy,98,DM,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Mohanad Lasheen,22,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
Egypt,2022-02-06,Ahmed Aboul-Fotouh,120,LB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,El Wensh,120,CB,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Mohamed Abdelmoneim,120,CB,0,0,,0,0,1,0,2,1,0,0,0,NA,NA,0,NA
Egypt,2022-02-06,Emam Ashour,120,RB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
Egypt,2022-02-06,Gabaski,120,GK,0,0,,0,0,0,0,0,0,0,0,0,7,100.0,NA,0
Egypt,2022-03-25,Mostafa Mohamed,71,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Omar Marmoush,19,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2022-03-25,Trézéguet,89,FW,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA
