Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
United States,2021-07-18,Donovan Pines,76,DF,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Shaq Moore,57,RB,1,0,,0,0,2,1,1,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Reggie Cannon,33,DF,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-07-18,Matt Turner,90,GK,0,0,,0,0,0,0,0,0,0,0,0,3,100.0,0,NA,0
Canada,2021-07-18,Cyle Larin,52,FW,0,0,,0,0,2,1,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Lucas Cavallini,38,FW,0,0,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Ayo Akinola,23,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Jonathan Osorio,67,"FW,MF",0,0,,0,0,2,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Junior Hoilett,73,AM,0,0,,0,0,2,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Tyler Pasher,17,"DF,FW",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Tajon Buchanan,90,DM,0,0,,0,0,4,1,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Samuel Piette,72,DM,0,0,,0,0,2,0,3,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Mark-Anthony Kaye,18,"FW,MF",0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Liam Fraser,90,DM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-18,Richie Laryea,90,DM,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
